9월	9/nnc+월/nbu
25일(일),	25일(일),/ncn
아름다운	아름답/paa+은/etm
여행으로	여행/ncpa+으로/jca
용천사와	용천사/ncn+와/jcj
불갑사의	불갑사/ncn+의/jcm
꽃무릇을	꽃무릇/ncn+을/jco
보고	보/px+고/ecc
왔습니다	오/px+아/ep+ㅂ니다/ef
.	./sf

용천사와	용천사/ncn+와/jcj
불갑사는	불갑사/ncn+는/jxc
선운사,	선운사,/ncn
상림과	상림/ncn+과/jct
함께	함께/mag
우리나라를	우리나라/ncn+를/jco
대표하는	대표/ncpa+하/xsva+는/etm
꽃무릇	꽃무릇/ncn
명소입니다	명소/ncn+이/jp+ㅂ니다/ef
.	./sf

특히	특히/mag
용천사와	용천사/ncn+와/jcj
불갑사는	불갑사/ncn+는/jxc
작은	작/paa+은/etm
산을	산/ncn+을/jco
사이에	사이/ncn+에/jca
두고	두/pvg+고/ecc
있는	있/px+는/etm
가까운	가깝/paa+은/etm
사찰이죠	사찰/ncn+이/jp+죠/ef
.	./sf

해서	하/pvg+어서/ecs
이번에	이/nnc+번/nbu+에/jca
두	두/nnc
꽃무릇의	꽃무릇/ncn+의/jcm
명소인	명소/ncn+이/jp+ㄴ/etm
용천사와	용천사/ncn+와/jcj
불갑사를	불갑사/ncn+를/jco
하루에	하루/ncn+에/jca
돌아보는	돌/pvg+아/ecx+보/px+는/etm
여행을	여행/ncpa+을/jco
다녀왔습니다	다니/pvg+어/ecx+오/px+아/ep+ㅂ니다/ef
.	./sf

먼저	먼저/mag
함평의	함평/ncn+의/jcm
용천사를	용천사/ncn+를/jco
찾았습니다	찾/pvg+아/ep+ㅂ니다/ef
.	./sf

용천사는	용천사/ncn+는/jxc
우리나라	우리나라/ncn
최대의	최대/ncn+의/jcm
꽃무릇	꽃무릇/ncn
군락이란	군락/ncn+이란/jxc
말이	말/ncn+이/jcc
있을	있/px+을/etm
정도로	정도/ncn+로/jca
꽃무릇이	꽃무릇/ncn+이/jcc
많이	많/paa+이/xsa
피어나는	피/pvg+어/ecx+나/px+는/etm
사찰입니다	사찰/ncn+이/jp+ㅂ니다/ef
.	./sf

사찰	사찰/ncn
입구	입구/ncn
저수지부터	저수지/ncn+부터/jxc
진입로	진입로/ncn
주변을	주변/ncn+을/jco
따라	따르/pvg+아/ecx
사찰	사찰/ncn
뒤까지	뒤/ncn+까지/jxc
붉은	붉/paa+은/etm
꽃무릇이	꽃무릇/ncn+이/jcc
지천으로	지천/ncpa+으로/jca
피어나는	피/pvg+어/ecx+나/px+는/etm
곳이죠	곳/ncn+이/jp+죠/ef
.	./sf

올해도	올해/ncn+도/jxc
꽃무릇이	꽃무릇/ncn+이/jcc
꽤	꽤/mag
피긴	피긴/ncn
했는데	하/px+었/ep+는데/ecs
아쉽게도	아쉽/paa+게/ecs+도/jxc
이	이/mmd
날은	날/ncn+은/jxc
벌써	벌써/mag
꽃무릇이	꽃무릇/ncn+이/jcc
시들어가고	시들/pvg+어/ecx+가/px+고/ecc
있었습니다	있/px+었/ep+습니다/ef
.	./sf

볕이	볕/ncn+이/jcc
드는	들/pvg+는/etm
양지바른	양지바르/paa+ㄴ/etm
곳의	곳/ncn+의/jcm
꽃무릇은	꽃무릇/ncn+은/jxc
거의	거의/mag
색이	색/ncn+이/jcc
바랬고	바래/pvg+었/ep+고/ecc
그늘	그늘/ncn
속의	속/ncn+의/jcm
꽃무릇도	꽃무릇/ncn+도/jxc
최근의	최근/ncn+의/jcm
가뭄	가물/pvg+ㅁ/etn
때문인지	때문/nbn+이/jp+ㄴ지/ecs
생기를	생기/ncn+를/jco
잃고	잃/pvg+고/ecc
있더군요	있/px+더군/ef+요/jxf
.	./sf

아쉬움을	아쉬움/ncn+을/jco
뒤로	뒤/ncn+로/jca
하고	하/pvg+고/ecc
불갑사로	불갑사/ncn+로/jca
향했습니다	향하/pvg+었/ep+습니다/ef
.	./sf

불갑사는	불갑사/ncn+는/jxc
백제	백제/ncn
최초의	최초/ncn+의/jcm
사찰로	사찰/ncn+로/jca
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
절이죠	절/ncn+이/jp+죠/ef
.	./sf

그러나	그러나/maj
최근에	최근/ncn+에/jca
절을	절/ncn+을/jco
크게	크/paa+게/ecs
중창하고	중창/ncpa+하고/jct
사찰	사찰/ncn
앞도	앞/ncn+도/jxc
깨끗하게	깨끗/ncps+하/xsms+게/ecs
정비해	정비/ncpa+하/xsva+어/ecx
고찰의	고찰/ncn+의/jcm
고풍스러움은	고풍/ncn+스럽/xsmn+음/etn+은/jxc
느껴지지	느끼/pvg+어/ecx+지/px+지/ecx
않는	않/px+는/etm
절입니다	절/ncn+이/jp+ㅂ니다/ef
.	./sf

불갑사로	불갑사/ncn+로/jca
갈	가/pvg+ㄹ/etm
때	때/ncn
일부	일/nnc+부/nbu
회원분들은	회원/ncn+분/ncn+들/xsncc+은/jxc
불갑산	불갑산/ncn
구수재를	구수/ncn+재/ncn+를/jco
걸어서	걷/pvg+어서/ecs
산을	산/ncn+을/jco
넘어갔고,	넘/pvg+어/ecx+가/px+아/ep+고/ecc+,/sp
일부	일/nnc+부/nbu
회원분들은	회원/ncn+분/ncn+들/xsncc+은/jxc
버스로	버스/ncn+로/jca
이동했습니다	이동/ncpa+하/xsva+었/ep+습니다/ef
.	./sf

구수재를	구수/ncn+재/ncn+를/jco
넘는	넘/pvg+는/etm
산길은	산길/ncn+은/jxc
약	약/ncn
4km	4km/ncn
거리로	거리/ncn+로/jca
그리	그리/mad
힘든	힘들/pvg+ㄴ/etm
코스는	코스/ncn+는/jxc
아닙니다	아니/paa+ㅂ니다/ef+./sf
.	./sf

구수재를	구수/ncn+재/ncn+를/jco
넘는	넘/pvg+는/etm
산길에도	산길/ncn+에/jca+도/jxc
여기저기	여기저기/mad
꽃무릇이	꽃무릇/ncn+이/jcc
피었는데	피/pvg+었/ep+는데/ecs
대부분	대부분/ncn
거의	거의/mag
지고	지/px+고/ecc
있는	있/px+는/etm
상태였습니다	상태/ncn+이/jp+었/ep+습니다/ef
.	./sf

구수재를	구수/ncn+재/ncn+를/jco
넘어	넘/pvg+어/ecx
불갑사	불갑사/ncn
뒤의	뒤/ncn+의/jcm
불갑저수지	불갑저수지/ncn
부근으로	부근/ncn+으로/jca
내려서자	내려서/pvg+자/ecc
비교적	비교/ncpa+적/ncn
싱싱한	싱싱/ncps+하/xsms+ㄴ/etm
꽃무릇들이	꽃무릇들/ncn+이/jcc
있더군요	있/px+더군/ef+요/jxf
.	./sf

불갑저수지	불갑저수지/ncn
주변과	주변/ncn+과/jcj
불갑사	불갑사/ncn
앞	앞/ncn
산책로	산책로/ncn
주변이	주변/ncn+이/jcc
그나마	그나마/mag
꽃무릇이	꽃무릇/ncn+이/jcc
꽃도	꽃/ncn+도/jxc
많았고	많/paa+아/ep+고/ecc
색도	색/ncn+도/jxc
좋았습니다	좋/paa+아/ep+ㅂ니다/ef
.	./sf

그러나	그러나/maj
이	이/mmd
꽃들도	꽃/ncn+들/xsncc+도/jxc
살짝	살짝/mag
절정은	절정/ncn+은/jxc
지나서	지나/pvg+아/ecx
꽃무릇의	꽃무릇/ncn+의/jcm
강렬한	강렬/ncn+한/ncn
이미지는	이미지/ncn+는/jxc
떨어지는	떨/pvg+어/ecx+지/px+는/etm
편이었습니다	편/nbn+이/jp+었/ep+습니다/ef
.	./sf

불갑사를	불갑사/ncn+를/jco
나오자	나/pvg+아/ecx+오/px+자/ecc
불갑사	불갑사/ncn
앞에서	앞/ncn+에서/jca
꽃무릇	꽃무릇/ncn
축제가	축제/ncn+가/jcs
펼쳐지고	펼치/pvg+어/ecx+지/px+고/ecc
있더군요	있/px+더군/ef+요/jxf
.	./sf

시끄러운	시끄럽/paa+은/etm
축제의	축제/ncn+의/jcm
소음과	소음/ncn+과/jct
엄청난	엄청나/paa+ㄴ/etm
인파로	인파/ncn+로/jca
정신이	정신/ncn+이/jcc
없을	없/paa+을/etm
정도로	정도/ncn+로/jca
소란스러웠습니다	소란/ncps+스럽/xsmn+었/ep+습니다/ef
.	./sf

불갑사	불갑사/ncn
꽃무릇	꽃무릇/ncn
축제에	축제/ncn+에/jca
그렇게	그렇/pad+게/ecs
많은	많/paa+은/etm
인파가	인파/ncn+가/jcs
몰릴	몰리/pvg+ㄹ/etm
줄은	줄/nbn+은/jxc
미처	미처/mag
예상치	예상치/ncn
못했네요	못하/px+었/ep+네/ef+요/jxf
.	./sf

이	이/mmd
날의	날/ncn+의/jcm
여행은	여행/ncpa+은/jxc
꽃무릇의	꽃무릇/ncn+의/jcm
상태도	상태/ncn+도/jxc
좋지	좋/paa+지/ecx
않았고	않/px+아/ep+고/ecc
또	또/maj
불갑사에서	불갑사/ncn+에서/jca
축제의	축제/ncn+의/jcm
소란에	소란/ncn+에/jca
시달려야	시달리/pvg+어야/ecs
했습니다	하/px+었/ep+습니다/ef
.	./sf

전체적으로	전체/ncn+적/ncn+으로/jca
아쉬움이	아쉬움/ncn+이/jcc
많이	많/paa+이/xsa
남는	남/pvg+는/etm
여행이었던	여행/ncpa+이/jp+었/ep+던/etm
것	것/nbn
같습니다	같/paa+습니다/ef
.	./sf

아무튼	아무튼/mag
이제	이제/mag
가을입니다	가을/ncn+이/jp+ㅂ니다/ef
.	./sf

환절기에	환절기/ncn+에/jca
건강	건강/ncps
관리	관리/ncpa
잘하시고	잘하/pvg+시/ep+고/ecc
즐거운	즐겁/paa+은/etm
가을	가/px+ㄹ/etm
맞으시기	맞/pvg+으시/ep+기/etn
바랍니다	바라/pvg+ㅂ니다/ef
.	./sf
