아름다운	아름답/paa+은/etm
여행으로	여행/ncpa+으로/jca
8월	8/nnc+월/nbu
4일(목)	4일(목)/ncn
태백	태백/ncn
구와우	구와우/ncn
해바라기꽃과	해바라기꽃/ncn+과/jcj
만항재	만항재/ncn
야생화	야생/ncpa+화/ncn
여행을	여행/ncpa+을/jco
다녀왔습니다	다니/pvg+어/ecx+오/px+아/ep+ㅂ니다/ef
.	./sf

그간	그간/ncn
비가	비/ncn+가/jcs
자주	자주/mag
많이	많/paa+이/xsa
내려	내리/pvg+어/ecx
후텁지근하고	후텁지근하/ncn+이/jp+고/ecc
습도가	습도/ncn+가/jcs
높아	높/paa+아/ecx
불쾌하던	불쾌/ncps+하/xsms+던/etm
기분을	기분/ncn+을/jco
오늘	오늘/ncn
태백	태백/ncn
여행으로	여행/ncpa+으로/jca
모두	모두/mag
말끔히	말끔히/mag
씻어낸	씻/pvg+어/ecx+내/px+ㄴ/etm
듯한	듯/nbn+하/pvg+ㄴ/etm
하루였습니다	하루/ncn+이/jp+었/ep+습니다/ef
.	./sf

서울,	서울,/ncn
경기도를	경기/ncn+도/ncn+를/jco
벗어나	벗/pvg+어/ecx+나/px+아/ecx
강원도로	강원도/ncn+로/jca
접어들면서	접어들/pvg+면서/ecc
흐렸던	흐리/pvg+었/ep+던/etm
하늘은	하늘/ncn+은/jxc
맑게	맑/paa+게/ecs
걷히고	걷히/pvg+고/ecc
첫번째	첫/nno+번/nbu+째/xsnu
여행지인	여행지/ncn+이/jp+ㄴ/etm
태백	태백/ncn
구와우	구와우/ncn
해바라기	해바라기/ncn
꽃밭에	꽃밭/ncn+에/jca
도착했을	도착/ncpa+하/xsva+었/ep+을/etm
때는	때/ncn+는/jxc
마치	마치/mag
다른	다르/paa+ㄴ/etm
세상처럼	세상/ncn+처럼/jca
파란	파랗/paa+은/etm
하늘과	하늘/ncn+과/jct
흰	희/paa+ㄴ/etm
구름이	구름/ncn+이/jcc
두둥실	두둥실/mag
떠다니고	떠다니/pvg+고/ecc
있었습니다	있/px+었/ep+습니다/ef
.	./sf

얼마만에	얼마/ncn+만/ncn+에/jca
보는	보/px+는/etm
파란	파랗/paa+은/etm
하늘인지	하늘/ncn+이/jp+ㄴ지/ecs
두	두/nnc
팔을	팔/ncn+을/jco
번쩍	번쩍/mag
들어올렸네요	들어올렸네요/ncn
.	./sf

^^	^/sy+^/sy

태백	태백/ncn
구와우마을	구와우마/ncn+이/jp+ㄹ/etm
해바라기꽃밭인	해바라기꽃/ncn+밭/ncn+이/jp+ㄴ/etm
고원자생식물원은	고원/ncn+자생/ncpa+식물원/ncn+은/jxc
우리나라	우리나라/ncn
최대의	최대/ncn+의/jcm
해바라기꽃	해바라기꽃/ncn
단지입니다	단지/ncn+이/jp+ㅂ니다/ef
.	./sf

요맘때면	요맘때/ncn+이/jp+면/ecs
야트막한	야트막/ncps+하/xsms+ㄴ/etm
구릉을	구릉/ncn+을/jco
따라	따르/pvg+아/ecx
피어난	피/pvg+어/ecx+나/px+ㄴ/etm
노란	노랗/paa+은/etm
해바라기가	해바라기/ncn+가/jcs
일제히	일제히/mag
꽃을	꽃/ncn+을/jco
피워	피우/pvg+어/ecx
마음까지	마음/ncn+까지/jxc
밝아지는	밝/paa+아/ecx+지/px+는/etm
곳입니다	곳/ncn+이/jp+ㅂ니다/ef
.	./sf

매표소를	매표소/ncn+를/jco
들어서자마자	들어서/pvg+자마자/ecs
노란	노랗/paa+은/etm
해바라기꽃이	해바라기꽃/ncn+이/jcc
환한	환/ncps+하/xsms+ㄴ/etm
미소로	미소/ncn+로/jca
반깁니다	반기/pvg+ㅂ니다/ef
.	./sf

올해는	올해/ncn+는/jxc
유난히	유난히/mag
들어서는	들/pvg+어서/ecs+는/jxc
길목에도	길목/ncn+에/jca+도/jxc
해바라기꽃이	해바라기꽃/ncn+이/jcc
많더군요	많/paa+더군/ef+요/jxf
.	./sf

이곳은	이곳/npd+은/jxc
다른	다른/mma
곳에	곳/nbn+에/jca
비해	비하/pvg+어/ecx
해바라기	해바라기/ncn
꽃송이가	꽃송이/ncn+가/jcs
작습니다	작/paa+습니다/ef
.	./sf

아직	아직/mag
만개는	만/nnc+개/nbu+는/jxc
아니지만	아니/paa+지만/ecs
여기저기	여기저기/mad
해바라기꽃들이	해바라기꽃/ncn+들/ncn+이/jcc
피어나고	피/pvg+어/ecx+나/px+고/ecc
있습니다	있/px+습니다/ef
.	./sf

요즘은	요즘/ncn+은/jxc
비가	비/ncn+가/jcs
자주	자주/mag
내렸던	내리/pvg+었/ep+던/etm
터라	터/nbn+이/jp+라/ecs
생기는	생기/pvg+는/etm
좀	좀/mag
덜하지만	덜하/paa+지만/ecs
그래도	그래도/maj
오랜만에	오랜만/ncn+에/jca
보는	보/px+는/etm
환한	환/ncps+하/xsms+ㄴ/etm
미소	미소/ncn
머금은	머금/pvg+은/etm
해바라기가	해바라기/ncn+가/jcs
마음을	마음/ncn+을/jco
밝게	밝/paa+게/ecs
해줍니다	하/pvg+어/ecx+주/px+ㅂ니다/ef
.	./sf

매표소를	매표소/ncn+를/jco
지나	지나/pvg+아/ecx
탐방로를	탐방로/ncn+를/jco
따라	따르/pvg+아/ecx
가면	가/px+면/ecs
중앙광장	중앙/ncn+광장/ncn
해바라기밭으로	해바라기/ncn+밭/ncn+으로/jca
이어집니다	잇/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf

중앙광장	중앙/ncn+광장/ncn
해바라기꽃밭을	해바라기꽃/ncn+밭/ncn+을/jco
돌아본	돌/pvg+아/ecx+보/px+ㄴ/etm
후	후/ncn
숲속	숲속/ncn
탐방로로	탐방로/ncn+로/jca
들어서면	들어서/pvg+면/ecs
시원한	시원/ncps+하/xsms+ㄴ/etm
숲	숲/ncn
그늘과	그늘/ncn+과/jct
서늘한	서늘/ncps+하/xsms+ㄴ/etm
바람이	바람/ncn+이/jcc
불어와	불/pvg+어/ecx+오/px+아/ecx
산책을	산책/ncpa+을/jco
하기에도	하/pvg+기/etn+에/jca+도/jxc
그만이죠	그만이/paa+죠/ef
.	./sf

날씨가	날씨/ncn+가/jcs
너무	너무/mag
더워서	덥/paa+어서/ecs
이	이/mmd
숲이	숲/ncn+이/jcc
얼마나	얼마나/mag
고마웠는지	고맙/paa+었/ep+는지/ecs
모릅니다	모르/pvg+ㅂ니다/ef
.	./sf

숲을	숲/ncn+을/jco
따라	따르/pvg+아/ecx
난	나/px+ㄴ/etm
산책로는	산책로/ncn+는/jxc
짧지만	짧/paa+지/ecx+말/px+ㄴ/etm
푹신푹신한	푹신/ncps+푹신/ncps+하/xsms+ㄴ/etm
흙길이라	흙길/ncn+이/jp+라/ecs
걷기에도	걷/pvg+기/etn+에/jca+도/jxc
편합니다	편하/paa+ㅂ니다/ef
.	./sf

숲을	숲/ncn+을/jco
나와	나/npp+와/jct
다시	다시/mag
왔던	오/px+아/ep+ㄴ/etm
길을	길/ncn+을/jco
따라	따르/pvg+아/ecx
걷다가	걷/pvg+다가/ecs
여러	여러/mma
야생화가	야생/ncpa+화/ncn+가/jcs
핀	피/pvg+ㄴ/etm
공원으로	공원/ncn+으로/jca
들어서니	들어서/pvg+니/ecs
노란	노랗/paa+은/etm
나리꽃이	나리꽃/ncn+이/jcc
지천으로	지천/ncpa+으로/jca
피었고	피/pvg+었/ep+고/ecc
그	그/mmd
외에	외/nbn+에/jca
여러	여러/mma
