POI 카테고리	POI ID	POI NAME	지역코드 1	지역코드 2	지역코드 3	지역이름 1	지역이름 2	지역이름 3
12	1603149	능인선원	1	1	5	서울	강남구	개포동
12	814237	고덕동 생태경관보존지역	1	2	4	서울	강동구	고덕동
12	127375	길동 자연생태공원	1	2	7	서울	강동구	길동
12	127378	일자산 해맞이 광장	1	2	7	서울	강동구	길동
12	822384	북서울 꿈의 숲	1	3	14	서울	강북구	번동
12	866393	오동근린공원	1	3	14	서울	강북구	번동
12	126824	구암(허준)공원	1	4	4	서울	강서구	가양동
12	127216	양천고성지(소악루)	1	4	4	서울	강서구	가양동
12	127215	양천향교	1	4	4	서울	강서구	가양동
12	809490	강서습지생태공원	1	4	5	서울	강서구	개화동
12	309300	미타사	1	4	5	서울	강서구	개화동
12	337422	약사사	1	4	5	서울	강서구	개화동
12	250166	방화대교	1	4	19	서울	강서구	방화동
12	126916	"관음사(觀音寺, 서울 관악산)"	1	5	1	서울	관악구	남현동
12	126909	"구 벨기에영사관(현, 서울시립미술관 남서울미술관)"	1	5	1	서울	관악구	남현동
12	126911	"서울 남현동 요지(구, 사당동백제요지)"	1	5	1	서울	관악구	남현동
12	126914	효민공이경직묘역	1	5	1	서울	관악구	남현동
12	129552	아차산	1	6	1	서울	광진구	광장동
12	742972	아차산생태공원	1	6	1	서울	광진구	광장동
12	126518	아차산성	1	6	1	서울	광진구	광장동
12	128961	강변스파랜드	1	6	4	서울	광진구	구의3동
12	337546	영화사	1	6	5	서울	광진구	구의동
12	126490	서울 어린이대공원	1	6	10	서울	광진구	능동
12	753964	순명비유강원석물	1	6	10	서울	광진구	능동
12	753850	키즈오토파크(어린이교통안전체험관)	1	6	10	서울	광진구	능동
12	771723	티오비보(신도림점)	1	7	16	서울	구로구	구로5동
12	126753	육군사관학교	1	9	2	서울	노원구	공릉2동
12	264136	육군사관학교 기념관	1	9	2	서울	노원구	공릉2동
12	126526	서울 태릉과 강릉 [유네스코 세계문화유산]	1	9	4	서울	노원구	공릉동
12	976637	화랑대역(서울)	1	9	4	서울	노원구	공릉동
12	485685	학림사	1	9	6	서울	노원구	상계1동
12	126482	불암산	1	9	15	서울	노원구	상계동
12	750901	송암사	1	9	15	서울	노원구	상계동
12	126483	수락산	1	9	15	서울	노원구	상계동
12	736370	수락산 당고개지구 공원	1	9	15	서울	노원구	상계동
12	304790	만월암	1	10	1	서울	도봉구	도봉1동
12	126481	도봉산	1	10	3	서울	도봉구	도봉동
12	749216	서울창포원(구.서울식물생태원)	1	10	3	서울	도봉구	도봉동
12	346995	원통사	1	10	3	서울	도봉구	도봉동
12	482112	천축사	1	10	3	서울	도봉구	도봉동
12	282011	답십리 고미술상가	1	11	6	서울	동대문구	답십리동
12	126523	사육신공원	1	12	1	서울	동작구	노량진1동
12	126521	국립서울현충원	1	12	5	서울	동작구	동작동
12	486625	호국지장사	1	12	5	서울	동작구	동작동
