POI 카테고리	POI ID	POI NAME	지역코드 1	지역코드 2	지역코드 3	지역이름 1	지역이름 2	지역이름 3
14	130768	개포도서관	1	1	2	서울	강남구	개포2동
12	1603149	능인선원	1	1	5	서울	강남구	개포동
38	132201	강남고속터미널 혼수상가	1	1	6	서울	강남구	논현1동
39	838789	청담골(논현점)	1	1	6	서울	강남구	논현1동
39	753428	와인북카페	1	1	6	서울	강남구	논현1동
39	135245	고기굽는집	1	1	6	서울	강남구	논현1동
14	130924	관세박물관	1	1	7	서울	강남구	논현2동
39	134258	순천회관(구.한아름)	1	1	7	서울	강남구	논현2동
28	131330	YMCA 강남 수영장(실내)	1	1	8	서울	강남구	논현동
14	1091466	강남 동양아트홀	1	1	8	서울	강남구	논현동
14	1062450	플래툰 쿤스트할레 [문화공간]	1	1	8	서울	강남구	논현동
14	130075	한국자수박물관	1	1	8	서울	강남구	논현동
14	129931	영동 예맥화랑	1	1	8	서울	강남구	논현동
38	132243	논현사거리 건자재거리	1	1	8	서울	강남구	논현동
32	715801	힐탑관광호텔	1	1	8	서울	강남구	논현동
32	142715	뉴 힐탑 관광호텔	1	1	8	서울	강남구	논현동
32	143112	베스트웨스턴 프리미어 강남호텔	1	1	8	서울	강남구	논현동
32	142753	영동호텔	1	1	8	서울	강남구	논현동
32	142750	임페리얼 팰리스 호텔	1	1	8	서울	강남구	논현동
32	142773	호텔 다이내스티	1	1	8	서울	강남구	논현동
32	136289	호텔G	1	1	8	서울	강남구	논현동
32	136288	하이랜드 호텔	1	1	8	서울	강남구	논현동
39	1072272	옥스스카이(OAKS SKY)	1	1	8	서울	강남구	논현동
39	1072267	더옥스(THE OAKS)	1	1	8	서울	강남구	논현동
39	857830	홍콩반점0410(논현본점)	1	1	8	서울	강남구	논현동
39	844813	후터스(논현점)	1	1	8	서울	강남구	논현동
39	842757	사가라멘	1	1	8	서울	강남구	논현동
39	839416	구기스	1	1	8	서울	강남구	논현동
39	838949	어도	1	1	8	서울	강남구	논현동
39	816024	오발탄(논현점)	1	1	8	서울	강남구	논현동
39	713988	아라섬(학동역점)	1	1	8	서울	강남구	논현동
39	704056	씨작	1	1	8	서울	강남구	논현동
39	678069	불이아(강남점)	1	1	8	서울	강남구	논현동
39	570762	가시리(본점)	1	1	8	서울	강남구	논현동
39	232274	한우리한정식 [서울의 자랑스러운 한국음식점]	1	1	8	서울	강남구	논현동
39	232272	남포면옥 [서울의 자랑스러운 한국음식점]	1	1	8	서울	강남구	논현동
39	135678	떼부짱(논현직영점)	1	1	8	서울	강남구	논현동
39	135384	공을기객잔(압구정본점)	1	1	8	서울	강남구	논현동
39	135297	홀리차우(압구정점)	1	1	8	서울	강남구	논현동
39	134996	화로사랑(도산공원점)	1	1	8	서울	강남구	논현동
